asset_id,file_path,status,asset_type,act,story_beat,character_ids,location,model,generation_date,size,quality,prompt_version,prompt_file,character_anchor_inputs,style_reference_inputs,parent_asset,generation_or_edit_id,selected_reason,qa_identity,qa_composition,qa_palette,qa_hands_props,qa_no_text_logo_watermark,reviewer,license_notes
SC-01,public/assets/scene-onboarding-vincent.png,approved,main_scene,1,Vincent asks the player to frame role and value before the client meeting,CH-01,Admiralty office reception,OpenAI ImageGen,2026-07-22,1536x1024,legacy approved output,legacy,,,,,019f79f4-b3ea-78a1-95da-4bba6f7af903 / exec-c49f8b46-960b-4ad6-bba9-1f2d609b0a55,Existing approved gameplay scene,pass_existing_visual_qa,pass_right_weighted_and_ui_safe,pass_project_palette,not_formally_scored,pass_existing_review,project author,"Original fictional project asset; no brands, readable text, watermarks, real people or existing franchises intended"
SC-02,public/assets/scene-central-client.png,approved,main_scene,2,Chen Jiamin challenges the timing of transformation,CH-02,Central client meeting room,OpenAI ImageGen,,1536x1024,legacy approved output,legacy,,,,,019f7a09-af72-7342-92ea-9ccddf9fa650,Existing approved gameplay scene,pass_existing_visual_qa,pass_right_weighted_and_ui_safe,pass_project_palette,not_formally_scored,pass_existing_review,project author,Original fictional project asset
SC-03,public/assets/scene-pantry-colleague.png,approved,main_scene,3,Ah Long interprets the client phrase 再睇下,CH-03,Admiralty office pantry,OpenAI ImageGen,,1536x1024,legacy approved output,legacy,,,,,019f7a09-f568-7090-afc7-5b15c4d1f328,Existing approved gameplay scene,pass_existing_visual_qa,pass_right_weighted_and_ui_safe,pass_project_palette,not_formally_scored,pass_existing_review,project author,Original fictional project asset
SC-04,public/assets/scene-crisis-client.png,approved,main_scene,4,Chen Jiamin demands a verifiable crisis response,CH-02,Central project war room,OpenAI ImageGen,2026-07-22,1536x1024,legacy approved output,legacy,,public/assets/scene-central-client.png,project cinematic scene system,SC-02,019f79f4-b3ea-78a1-95da-4bba6f7af903 / exec-08adaf13-e760-40b3-97c4-b41e50d836b5,"Existing approved gameplay scene; client image used as continuity reference",continuity_reference_used_pass_existing_visual_qa,pass_right_weighted_and_ui_safe,pass_project_palette_with_restrained_crisis_accent,not_formally_scored,pass_existing_review,project author,Original fictional project asset; continuity edit from the fictional client image only
SC-05,public/assets/scene-manager-lunch.png,approved,main_scene,5,Mrs Ho asks the player to turn intent into a bounded pilot,CH-04,Wan Chai cha chaan teng,OpenAI ImageGen,,1536x1024,legacy approved output,legacy,,,,,019f7a0a-6581-79a3-a62a-80089f6c3966,Existing approved gameplay scene,pass_existing_visual_qa,pass_right_weighted_and_ui_safe,pass_project_palette,not_formally_scored,pass_existing_review,project author,Original fictional project asset
CH-01,public/assets/char-vincent-anchor-candidate-[a-d]-v01.png,approved,character_anchor,1,Vincent relationship dossier,CH-01,Character reference stage,GPT Image 2,2026-07-24,1024x1536,user-supplied final PNG,P0-A01,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-onboarding-vincent.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_distinct_vincent_identity,pass_reference_sheet,pass_project_palette,pass_hands_and_props,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
CH-02,public/assets/char-chen-jiamin-anchor-candidate-[a-d]-v01.png,approved,character_anchor,2|4,Chen Jiamin relationship dossier and continuity anchor,CH-02,Character reference stage,GPT Image 2,2026-07-24,1024x1536,user-supplied final PNG,P0-A02,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-central-client.png|public/assets/scene-crisis-client.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_distinct_chen_identity,pass_reference_sheet,pass_project_palette,pass_hands_and_props,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
CH-03,public/assets/char-ah-long-anchor-candidate-[a-d]-v01.png,approved,character_anchor,3,Ah Long relationship dossier,CH-03,Character reference stage,GPT Image 2,2026-07-24,1024x1536,user-supplied final PNG,P0-A03,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-pantry-colleague.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_distinct_ah_long_identity,pass_reference_sheet,pass_project_palette,pass_hands_and_props,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
CH-04,public/assets/char-mrs-ho-anchor-candidate-[a-d]-v01.png,approved,character_anchor,5,Mrs Ho relationship dossier,CH-04,Character reference stage,GPT Image 2,2026-07-24,1024x1536,user-supplied final PNG,P0-A04,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,,public/assets/scene-manager-lunch.png,,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_distinct_mrs_ho_identity,pass_reference_sheet,pass_project_palette,pass_hands_and_props,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
RP-01,public/assets/reaction-vincent-act1-reference-v01.png,approved,reaction_sheet,1,Vincent responds to the player's self-introduction strategy,CH-01,Admiralty office reception,GPT Image 2,2026-07-24,1536x1024,user-supplied final PNG,P0-B01,docs/visual-production/GPT_IMAGE_2_CONCRETE_PROMPTS.md,public/assets/char-vincent-anchor-candidate-[a-d]-v01.png,public/assets/scene-onboarding-vincent.png,CH-01,not exported with supplied PNG,Accepted into cinematic story expansion after visual QA,pass_matches_supplied_anchor,pass_multi_pose_reaction_sheet,pass_project_palette,pass_hands_and_folder,pass_no_obvious_text_logo_watermark,Codex visual QA 2026-07-24,Original fictional project asset generated from project-owned GPT Image 2 prompt; supplied PNG contains no provider generation ID
